timestamp,round,n_clients,loss,accuracy,precision,recall,f1
2026-05-20T07:42:38,1,5,0.1987095249038487,0.9164319248826291,0.0,0.0,0.0
2026-05-20T07:42:52,2,5,0.14740457033056398,0.9164319248826291,0.0,0.0,0.0
2026-05-20T07:43:07,3,5,0.10736013877969629,0.939906103286385,0.7989864864864865,0.5502114164904862,0.6187698833510074
2026-05-20T07:43:21,4,5,0.1062283565185881,0.939906103286385,0.8115384615384615,0.5274841437632135,0.6213333333333333
2026-05-20T07:43:35,5,5,0.09708074962741044,0.9408450704225352,0.7291666666666667,0.602536997885835,0.6475155279503106
2026-05-20T07:43:48,6,5,0.0982954264958411,0.9342723004694836,0.6596736596736597,0.6257928118393234,0.6348684210526316
2026-05-20T07:44:01,7,5,0.09688384976757781,0.9417840375586854,0.7694805194805194,0.5850951374207187,0.6520202020202019
2026-05-20T07:44:16,8,5,0.0983206595342274,0.9436619718309859,0.7916666666666667,0.5396405919661733,0.6301344965467103
2026-05-20T07:44:30,9,5,0.09598852241250026,0.9446009389671362,0.7927536231884058,0.5850951374207187,0.6539440203562341
2026-05-20T07:44:44,10,5,0.09475210782240512,0.9342723004694836,0.6796875,0.6141649048625792,0.6394202898550725
2026-05-20T07:44:58,11,5,0.09670308355646189,0.9436619718309859,0.7736013986013985,0.602536997885835,0.6669960474308301
2026-05-20T07:45:12,12,5,0.09904989368655825,0.9436619718309859,0.7722816399286987,0.5967230443974629,0.6620769741207697
2026-05-20T07:45:26,13,5,0.096520629034423,0.9380281690140845,0.7199413489736071,0.6141649048625792,0.6584766584766584
2026-05-20T07:45:40,14,5,0.09962167499683679,0.9380281690140845,0.7094202898550726,0.6083509513742071,0.6484018264840182
2026-05-20T07:45:54,15,5,0.1002849775207029,0.9417840375586854,0.7589285714285714,0.602536997885835,0.6657386177530298
2026-05-20T07:46:08,16,5,0.10489232886837169,0.9436619718309859,0.7984210526315789,0.5681818181818181,0.6576398852223817
2026-05-20T07:46:22,17,5,0.09980377765864838,0.9352112676056338,0.6930217669654288,0.6316067653276956,0.6593804284887087
2026-05-20T07:46:35,18,5,0.1032197443254351,0.9389671361502347,0.6977904490377762,0.5972515856236786,0.637641723356009
2026-05-20T07:46:50,19,5,0.10466808206969154,0.936150234741784,0.685515873015873,0.6141649048625792,0.6415231981324774
2026-05-20T07:47:03,20,5,0.10553962332278516,0.9342723004694836,0.6403508771929824,0.6263213530655392,0.631508319914117
